id,store_id,user_id,network_id,conversion,commission_percentage,created_at,updated_at
1,3027,7,"1","No","0",2019-10-30 17:55:54,2019-10-30 17:55:54
2,3027,7,"1","No","0",2019-10-30 17:58:05,2019-10-30 17:58:05
3,3027,7,"1","No","0",2019-10-30 18:03:48,2019-10-30 18:03:48
4,3027,7,"1","No","0",2019-10-30 18:05:02,2019-10-30 18:05:02
5,3027,7,"1","No","0",2019-10-30 18:05:05,2019-10-30 18:05:05
6,3027,7,"1","No","0",2019-10-30 18:05:09,2019-10-30 18:05:09
7,3027,7,"1","No","0",2019-10-30 18:05:13,2019-10-30 18:05:13
8,3027,7,"1","No","0",2019-10-30 18:05:15,2019-10-30 18:05:15
9,3027,7,"1","No","0",2019-10-30 18:05:20,2019-10-30 18:05:20
10,3027,7,"1","No","0",2019-10-30 18:05:26,2019-10-30 18:05:26
11,3027,7,"1","No","0",2019-10-30 18:05:30,2019-10-30 18:05:30
12,1607,1,"1","No","0",2019-10-31 14:21:18,2019-10-31 14:21:18
13,3035,7,"1","No","0",2019-11-02 17:35:33,2019-11-02 17:35:33
14,1765,7,"1","No","0",2019-11-02 23:08:38,2019-11-02 23:08:38
15,1765,7,"1","No","0",2019-11-06 15:21:32,2019-11-06 15:21:32
16,1765,7,"1","No","0",2019-11-06 15:24:43,2019-11-06 15:24:43
17,1765,7,"1","No","0",2019-11-06 15:25:10,2019-11-06 15:25:10
18,1765,7,"1","No","0",2019-11-06 15:29:14,2019-11-06 15:29:14
19,1765,7,"1","No","0",2019-11-06 15:32:01,2019-11-06 15:32:01
20,1765,7,"1","Yes","0",2019-11-06 15:33:21,2022-06-23 16:21:15
21,1765,7,"1","No","0",2019-11-06 15:33:48,2019-11-06 15:33:48
22,1765,7,"1","No","0",2019-11-06 15:36:19,2019-11-06 15:36:19
23,1765,7,"1","No","0",2019-11-06 15:37:29,2019-11-06 15:37:29
24,1765,7,"1","No","0",2019-11-06 15:38:15,2019-11-06 15:38:15
25,1765,7,"1","No","0",2019-11-06 15:38:58,2019-11-06 15:38:58
26,1765,7,"1","No","0",2019-11-06 15:39:11,2019-11-06 15:39:11
27,1765,7,"1","No","0",2019-11-06 15:39:55,2019-11-06 15:39:55
28,1765,7,"1","No","0",2019-11-06 15:40:17,2019-11-06 15:40:17
29,1765,7,"1","No","0",2019-11-06 15:40:47,2019-11-06 15:40:47
30,2046,7,"1","No","0",2019-11-06 15:40:51,2019-11-06 15:40:51
31,140,,"1","No","0",2019-11-11 04:43:52,2019-11-11 04:43:52
32,2046,7,"1","No","0",2019-11-11 08:31:54,2019-11-11 08:31:54
33,3023,7,"1","No","0",2019-11-15 11:15:22,2019-11-15 11:15:22
34,3023,,"1","No","0",2019-11-15 11:15:32,2019-11-15 11:15:32
35,3023,,"1","No","0",2019-11-15 11:31:05,2019-11-15 11:31:05
36,3023,,"1","No","0",2019-11-15 11:31:16,2019-11-15 11:31:16
37,3023,,"1","No","0",2019-11-15 11:31:47,2019-11-15 11:31:47
38,3023,,"1","No","0",2019-11-15 11:32:52,2019-11-15 11:32:52
39,3023,,"1","No","0",2019-11-15 11:33:25,2019-11-15 11:33:25
40,3023,,"1","No","0",2019-11-15 11:34:25,2020-09-08 19:12:45
41,3023,,"1","No","0",2019-11-15 11:41:56,2019-11-15 11:41:56
42,3023,7,"1","No","0",2019-11-15 11:42:21,2019-11-15 11:42:21
43,3023,7,"1","No","0",2019-11-15 11:42:28,2019-11-15 11:42:28
44,3023,7,"1","No","0",2019-11-15 11:45:11,2019-11-15 11:45:11
45,3023,7,"1","No","0",2019-11-15 11:45:17,2019-11-15 11:45:17
46,3023,7,"1","No","0",2019-11-15 11:46:25,2019-11-15 11:46:25
47,3023,7,"1","No","0",2019-11-15 11:47:16,2019-11-15 11:47:16
48,3023,7,"1","No","0",2019-11-15 11:49:54,2019-11-15 11:49:54
49,3023,,"1","No","0",2019-11-15 11:57:07,2019-11-15 11:57:07
50,3023,7,"1","No","0",2019-11-15 11:59:55,2019-11-15 11:59:55
51,3023,7,"1","No","0",2019-11-15 12:02:27,2019-11-15 12:02:27
52,3023,,"1","No","0",2019-11-15 12:06:01,2019-11-15 12:06:01
53,3023,,"1","No","0",2019-11-15 12:06:58,2019-11-15 12:06:58
54,3023,,"1","No","0",2019-11-15 12:11:25,2019-11-15 12:11:25
55,3023,,"1","No","0",2019-11-15 12:12:27,2019-11-15 12:12:27
56,3023,,"1","No","0",2019-11-15 12:13:03,2019-11-15 12:13:03
57,3023,,"1","No","0",2019-11-15 12:55:08,2019-11-15 12:55:08
58,3023,,"1","No","0",2019-11-15 13:21:42,2019-11-15 13:21:42
59,3023,,"1","No","0",2019-11-15 13:26:04,2019-11-15 13:26:04
60,5,22,"1","No","0",2020-05-30 12:44:54,2020-05-30 12:44:54
61,5,22,"1","No","0",2020-06-01 10:55:38,2020-06-01 10:55:38
62,5,22,"1","No","0",2020-06-01 10:55:39,2020-06-01 10:55:39
63,5,22,"1","No","0",2020-06-01 10:55:42,2020-06-01 10:55:42
64,5,22,"1","No","0",2020-06-01 10:55:42,2020-06-01 10:55:42
65,5,22,"1","Yes","0",2020-06-01 10:55:45,2022-06-23 16:21:15
66,5,22,"1","No","0",2020-06-01 10:55:46,2020-06-01 10:55:46
67,5,22,"1","No","0",2020-06-01 10:55:49,2020-06-01 10:55:49
68,5,22,"1","No","0",2020-06-01 10:55:50,2020-06-01 10:55:50
69,5,22,"1","No","0",2020-06-01 10:55:53,2020-06-01 10:55:53
70,5,22,"1","No","0",2020-06-01 10:55:54,2020-06-01 10:55:54
71,7,22,"1","No","0",2020-06-01 10:55:55,2020-06-01 10:55:55
72,7,22,"1","No","0",2020-06-01 10:55:56,2020-06-01 10:55:56
73,5,22,"1","No","0",2020-06-01 10:55:57,2020-06-01 10:55:57
74,5,22,"1","No","0",2020-06-01 10:55:58,2020-06-01 10:55:58
75,7,22,"1","No","0",2020-06-01 10:55:59,2020-06-01 10:55:59
76,7,22,"1","No","0",2020-06-01 10:56:00,2020-06-01 10:56:00
77,5,22,"1","No","0",2020-06-01 10:56:01,2020-06-01 10:56:01
78,5,22,"1","No","0",2020-06-01 10:56:02,2020-06-01 10:56:02
79,7,22,"1","No","0",2020-06-01 10:56:03,2020-06-01 10:56:03
80,7,22,"1","No","0",2020-06-01 10:56:03,2020-06-01 10:56:03
81,5,22,"1","No","0",2020-06-01 10:56:05,2020-06-01 10:56:05
82,5,22,"1","No","0",2020-06-01 10:56:06,2020-06-01 10:56:06
83,7,22,"1","No","0",2020-06-01 10:56:06,2020-06-01 10:56:06
84,7,22,"1","No","0",2020-06-01 10:56:07,2020-06-01 10:56:07
85,5,22,"1","No","0",2020-06-01 10:56:09,2020-06-01 10:56:09
86,7,22,"1","No","0",2020-06-01 10:56:10,2020-06-01 10:56:10
87,5,22,"1","No","0",2020-06-01 10:56:10,2020-06-01 10:56:10
88,7,22,"1","No","0",2020-06-01 10:56:10,2020-06-01 10:56:10
89,5,22,"1","No","0",2020-06-01 10:56:13,2020-06-01 10:56:13
90,5,22,"1","No","0",2020-06-01 11:06:46,2020-06-01 11:06:46
91,5,22,"1","No","0",2020-06-01 11:06:47,2020-06-01 11:06:47
92,5,22,"1","No","0",2020-06-01 11:06:50,2020-06-01 11:06:50
93,5,22,"1","No","0",2020-06-01 11:06:51,2020-06-01 11:06:51
94,5,22,"1","No","0",2020-06-01 18:21:35,2020-06-01 18:21:35
95,5,22,"1","No","0",2020-06-01 18:21:36,2020-06-01 18:21:36
96,5,22,"1","No","0",2020-06-01 18:21:39,2020-06-01 18:21:39
97,5,22,"1","No","0",2020-06-01 18:21:40,2020-06-01 18:21:40
98,9,22,"1","No","0",2020-06-03 16:25:20,2020-06-03 16:25:20
99,9,22,"1","Yes","0",2020-06-03 16:25:21,2020-06-03 16:25:21
100,9,22,"1","No","0",2020-06-03 16:25:24,2020-06-03 16:25:24
101,9,22,"1","No","0",2020-06-03 16:25:24,2020-06-03 16:25:24
102,9,22,"1","No","0",2020-06-03 16:25:27,2020-06-03 16:25:27
103,9,22,"1","No","0",2020-06-03 16:25:28,2020-06-03 16:25:28
104,9,22,"1","No","0",2020-06-03 16:25:31,2020-06-03 16:25:31
105,9,22,"1","No","0",2020-06-03 16:25:31,2020-06-03 16:25:31
106,9,22,"1","No","0",2020-06-03 16:25:34,2020-06-03 16:25:34
107,9,22,"1","No","0",2020-06-03 16:25:35,2020-06-03 16:25:35
108,9,22,"1","No","0",2020-06-03 16:25:38,2020-06-03 16:25:38
109,9,22,"1","No","0",2020-06-03 16:25:38,2020-06-03 16:25:38
110,9,22,"1","No","0",2020-06-03 16:25:41,2020-06-03 16:25:41
111,9,22,"1","No","0",2020-06-03 16:25:42,2020-06-03 16:25:42
112,9,22,"1","No","0",2020-06-03 16:25:44,2020-06-03 16:25:44
113,9,22,"1","No","0",2020-06-03 16:25:45,2020-06-03 16:25:45
114,9,22,"1","No","0",2020-06-03 16:25:48,2020-06-03 16:25:48
115,9,22,"1","No","0",2020-06-03 16:25:49,2020-06-03 16:25:49
116,9,22,"1","No","0",2020-06-03 16:25:51,2020-06-03 16:25:51
117,9,22,"1","No","0",2020-06-03 16:25:52,2020-06-03 16:25:52
118,9,22,"1","No","0",2020-06-03 16:25:55,2020-06-03 16:25:55
119,9,22,"1","No","0",2020-06-03 16:25:56,2020-06-03 16:25:56
120,9,22,"1","No","0",2020-06-03 16:25:58,2020-06-03 16:25:58
121,9,22,"1","No","0",2020-06-03 16:25:59,2020-06-03 16:25:59
122,9,22,"1","No","0",2020-06-03 16:26:02,2020-06-03 16:26:02
123,9,22,"1","No","0",2020-06-03 16:26:03,2020-06-03 16:26:03
124,9,22,"1","No","0",2020-06-03 16:26:05,2020-06-03 16:26:05
125,9,22,"1","No","0",2020-06-03 16:26:06,2020-06-03 16:26:06
126,9,22,"1","No","0",2020-06-03 16:26:09,2020-06-03 16:26:09
127,9,22,"1","No","0",2020-06-03 16:26:09,2020-06-03 16:26:09
128,9,22,"1","No","0",2020-06-03 16:26:12,2020-06-03 16:26:12
129,9,22,"1","No","0",2020-06-03 16:26:13,2020-06-03 16:26:13
130,9,22,"1","No","0",2020-06-03 16:26:16,2020-06-03 16:26:16
131,9,22,"1","No","0",2020-06-03 16:26:16,2020-06-03 16:26:16
132,9,22,"1","No","0",2020-06-03 16:26:19,2020-06-03 16:26:19
133,9,22,"1","No","0",2020-06-03 16:26:20,2020-06-03 16:26:20
134,9,22,"1","No","0",2020-06-03 16:26:23,2020-06-03 16:26:23
135,9,22,"1","No","0",2020-06-03 16:26:23,2020-06-03 16:26:23
136,9,22,"1","No","0",2020-06-03 16:26:26,2020-06-03 16:26:26
137,9,22,"1","No","0",2020-06-03 16:26:27,2020-06-03 16:26:27
138,9,22,"1","No","0",2020-06-03 16:26:29,2020-06-03 16:26:29
139,9,22,"1","No","0",2020-06-03 16:26:30,2020-06-03 16:26:30
140,9,22,"1","No","0",2020-06-03 16:26:33,2020-06-03 16:26:33
141,9,22,"1","No","0",2020-06-03 16:26:33,2020-06-03 16:26:33
142,9,22,"1","No","0",2020-06-03 16:26:36,2020-06-03 16:26:36
143,9,22,"1","No","0",2020-06-03 16:26:37,2020-06-03 16:26:37
144,9,22,"1","No","0",2020-06-03 16:26:40,2020-06-03 16:26:40
145,9,22,"1","No","0",2020-06-03 16:26:40,2020-06-03 16:26:40
146,9,22,"1","No","0",2020-06-03 16:26:43,2020-06-03 16:26:43
147,9,22,"1","No","0",2020-06-03 16:26:44,2020-06-03 16:26:44
148,9,22,"1","No","0",2020-06-03 16:26:47,2020-06-03 16:26:47
149,9,22,"1","No","0",2020-06-03 16:26:47,2020-06-03 16:26:47
150,9,22,"1","No","0",2020-06-03 16:26:50,2020-06-03 16:26:50
151,9,22,"1","No","0",2020-06-03 16:26:51,2020-06-03 16:26:51
152,9,22,"1","No","0",2020-06-03 16:26:54,2020-06-03 16:26:54
153,9,22,"1","No","0",2020-06-03 16:26:54,2020-06-03 16:26:54
154,9,22,"1","No","0",2020-06-03 16:26:57,2020-06-03 16:26:57
155,9,22,"1","No","0",2020-06-03 16:26:58,2020-06-03 16:26:58
156,9,22,"1","Yes","0",2020-06-03 16:27:01,2022-06-23 16:21:15
157,9,22,"1","No","0",2020-06-03 16:27:01,2020-06-03 16:27:01
158,9,22,"1","No","0",2020-06-03 16:27:04,2020-06-03 16:27:04
159,9,22,"1","No","0",2020-06-03 16:27:05,2020-06-03 16:27:05
160,9,22,"1","No","0",2020-06-03 16:27:07,2020-06-03 16:27:07
161,9,22,"1","No","0",2020-06-03 16:27:08,2020-06-03 16:27:08
162,9,22,"1","No","0",2020-06-03 16:27:11,2020-06-03 16:27:11
163,9,22,"1","No","0",2020-06-03 16:27:11,2020-06-03 16:27:11
164,9,22,"1","No","0",2020-06-03 16:27:14,2020-06-03 16:27:14
165,9,22,"1","No","0",2020-06-03 16:27:15,2020-06-03 16:27:15
166,9,22,"1","No","0",2020-06-03 16:27:18,2020-06-03 16:27:18
167,9,22,"1","No","0",2020-06-03 16:27:19,2020-06-03 16:27:19
168,9,22,"1","No","0",2020-06-03 16:27:22,2020-06-03 16:27:22
169,9,22,"1","No","0",2020-06-03 16:27:24,2020-06-03 16:27:24
170,9,22,"1","No","0",2020-06-03 16:27:26,2020-06-03 16:27:26
171,9,22,"1","No","0",2020-06-03 16:27:28,2020-06-03 16:27:28
172,9,22,"1","No","0",2020-06-03 16:27:30,2020-06-03 16:27:30
173,9,22,"1","No","0",2020-06-03 16:27:32,2020-06-03 16:27:32
174,9,22,"1","No","0",2020-06-03 16:27:34,2020-06-03 16:27:34
175,9,22,"1","No","0",2020-06-03 16:27:35,2020-06-03 16:27:35
176,9,22,"1","No","0",2020-06-03 16:27:39,2020-06-03 16:27:39
177,9,22,"1","No","0",2020-06-03 16:27:40,2020-06-03 16:27:40
178,9,22,"1","No","0",2020-06-03 16:27:43,2020-06-03 16:27:43
