id,title,country,charity_types_id,logo_type,logo_upload,banner_link,banner_type,banner_upload,banner_link,description,status,created_at,updated_at"
41,Madrasah Zeenatul Quran,4,4,upload,resources/upload/images/3558711825719369391620907754.png,NULL,upload,resources/upload/images/2612092298728245421620907759.png,NULL,,0,2021-04-13 10:56:13,2021-04-13 10:56:13
42,The Bhaja Initiative,4,2,upload,resources/upload/images/186143309017822014741624115653.png,NULL,upload,resources/upload/images/3059724509941960191620907716.png,NULL,,0,2021-04-13 11:07:17,2021-04-13 11:07:17
43,Islamic Diversity Centre,4,2,upload,resources/upload/images/187468401613453422801620907675.png,NULL,upload,resources/upload/images/172557457921066959971620907678.png,NULL,,0,2021-04-13 11:14:42,2021-04-13 11:14:42
44,Newcastle Central Mosque,4,4,upload,resources/upload/images/145601423016815024751620907627.png,NULL,upload,resources/upload/images/9941621022555254021620907630.png,NULL,,0,2021-04-13 11:32:23,2021-04-13 11:32:23
45,JKN Outreach,4,3,upload,resources/upload/images/121266221111466263131623923436.png,NULL,upload,resources/upload/images/15654113895049997311623923885.png,NULL,,0,2021-05-17 10:58:18,2021-05-17 10:58:18
46,Khidmat Centres,4,2,upload,resources/upload/images/84099863216465500091623924369.png,NULL,upload,resources/upload/images/59710732318286413151623924425.png,NULL,,0,2021-05-17 11:07:08,2021-05-17 11:07:08
47,Muslim Women’s Council,4,2,upload,resources/upload/images/8392448742699642141623924993.png,NULL,upload,resources/upload/images/57825597821463845371623924994.png,NULL,,0,2021-05-17 11:16:35,2021-05-17 11:16:35
48,Save the Mothers Trust,4,2,upload,resources/upload/images/6894013602119645171623925589.png,NULL,upload,resources/upload/images/127063967315313187391623925594.png,NULL,,0,2021-05-17 11:26:35,2021-05-17 11:26:35
49,SKT Welfare,4,2,upload,resources/upload/images/55085411812739999561623925957.png,NULL,upload,resources/upload/images/6659377788092171481623925965.png,NULL,,0,2021-05-17 11:32:50,2021-05-17 11:32:50
50,Federation of Muslim Organisations,4,7,upload,resources/upload/images/186388875116436411331623927646.png,NULL,upload,resources/upload/images/107311878610660270371623927651.png,NULL,,0,2021-05-17 12:01:07,2021-05-17 12:01:07
