id,store_id,city,postal_code,latitude,longitude,address,created_at,updated_at,deleted_at
1,3273,1,NW4 3JH,51.58380900,0.22864200,"25-27 Watford Way ",2021-06-08 13:23:52,2021-06-08 13:23:52,
2,3322,46,HA1 2JN,51.58282200,0.33118900,"2 Manor Parade",2021-07-01 11:31:55,2021-07-01 11:31:55,
3,3324,2,B11 2AG,52.45672900,1.83989600,"Unit 29 Rovex Business Park, Hay Hall Road",2022-05-27 08:49:40,2022-05-27 08:49:40,
4,3330,1,N12 0EL,51.61323900,-0.17681400,"2 Nether St, North Finchley",2022-06-06 13:06:26,2022-06-06 13:06:26,
5,3331,11,NG1 3FB,52.95824400,-1.14939000,"43 Mansfield Road",2022-06-06 13:42:09,2022-06-06 13:42:09,
6,3332,1,SW2 1HT,51.44584800,-0.12456200,"280 Brixton Hill's",2022-06-07 15:35:13,2022-06-07 15:35:13,
7,3335,1,N15 4RX,51.58757900,0.07241800,"Bernie Grant Arts Centre, Town Hall Approach Road, Tottenham Green, London, ",2022-06-08 15:35:54,2022-06-08 15:35:54,
8,3336,1,N11 3EH,51.61529600,0.14680300,"Allotments N11, 61 Friern Barnet Rd, London ",2022-06-08 17:25:08,2022-06-08 17:25:08,
9,4331,2,B18 6JR,52.48766800,-1.90969700,"199 Waterstone Lane",2022-06-15 11:04:13,2022-06-15 11:04:13,
10,4343,2,B64UU,52.49900000,-1.89450000,"The Drum 144 Potters Lane, Birmingham, ",2022-06-15 22:11:45,2022-06-15 22:11:45,
11,4354,150,WS1 3HS,52.57300000,-1.97830000,"16 West Bromwich Road",2022-06-18 09:15:11,2022-06-18 09:15:11,
12,4373,1,NW4 3XH,51.58263300,-0.23055000,"60 Vivian Avenue ",2022-07-02 18:38:19,2022-07-02 18:38:19,
13,4427,53,EN3 5SX,51.66918000,-0.04149600,"586 Hertford Rd, Enfield Lock, Enfield ",2022-08-20 21:09:20,2022-08-20 21:09:20,
14,4430,154,E4 6ST,51.61982800,-0.01692300,"107 Old Church Road",2022-08-21 13:05:06,2022-08-21 13:05:06,
15,4431,387,N22 8HH,51.59807100,-0.11027000,"236 High Road  ",2022-08-21 13:12:56,2022-08-21 13:12:56,
